name,symbol,price,previousClosePrice,openPrice,bid,ask,lowDayRange,highDayRange,low52WeekRange,high52WeekRange,volume,averageVolume,marketCap,beta,priceEarningsRatio,earningsPerShare,forwardDividend,yieldPercent
eventbrite inc,EB,6.49,"6.58,6.58",6.58,6.57 x 1300,None,6.28 , 6.64,5.76 , 22.52,445584,1405729,638.096M,2.50,N/A,-0.76,N/A ,None
ennis inc,EBF,22.69,"22.70,22.70",22.79,22.79 x 1100,None,22.47 , 22.89,16.55 , 22.89,33277,109723,586.228M,0.43,15.54,1.46,1.00 ,4.41
centrais electricas brazil adr,EBR,9.52,"9.67,9.67",9.64,9.49 x 4000,None,9.41 , 9.72,5.17 , 9.85,1371554,2254778,21.908B,0.67,12.21,0.78,0.15 ,1.55
emergent biosolutions,EBS,21.10,"20.92,20.92",20.70,21.04 x 800,None,20.25 , 21.20,18.00 , 52.76,244164,648806,1.052B,1.07,12.34,1.71,N/A ,None
ecopetrol s.a. adr,EC,10.22,"10.19,10.19",10.14,10.22 x 1000,None,9.87 , 10.27,8.59 , 19.81,910665,1363910,21.011B,1.16,4.06,2.52,1.49 ,14.63
blackrock esg capital allocation trust,ECAT,13.65,"13.60,13.60",13.55,13.63 x 3200,None,13.56 , 13.73,12.74 , 19.78,295378,325442,1.425B,N/A,17.28,0.79,1.20 ,8.78
eagle point credit co. inc,ECC,10.85,"10.81,10.81",10.91,10.81 x 800,None,10.77 , 10.89,10.16 , 15.54,157328,374287,473.951M,0.87,2.78,3.90,1.68 ,15.58
eagle point credit company,ECCB,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
eagle point credit company inc,ECC-D,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
eagle point credit company,ECCC,20.34,"20.30,20.30",20.33,20.03 x 1000,None,20.03 , 20.49,19.79 , 25.99,1057,3632,N/A,0.87,11.15,1.82,1.62 ,8.10
eagle point credit company,ECCW,22.50,"22.50,22.50",22.64,21.94 x 1100,None,22.50 , 22.64,20.04 , 26.80,381,1618,N/A,N/A,N/A,N/A,N/A ,None
eagle point credit company,ECCX,23.23,"23.36,23.36",23.49,23.05 x 800,None,23.23 , 23.47,21.22 , 26.25,3368,2354,420.247M,N/A,11.42,N/A,N/A ,None
eagle point credit company,ECCY,25.19,"25.19,25.19",25.19,0.00 x 4000,None,25.19 , 25.19,25.11 , 26.32,12317,3910,N/A,N/A,12.38,N/A,None,None
ecolab inc,ECL,142.05,"142.98,142.98",141.67,143.05 x 800,None,140.27 , 143.86,136.94 , 238.93,1249556,1188521,40.483B,N/A,37.09,3.83,2.04 ,1.43
channeladvisor corp,ECOM,23.05,"23.04,23.04",23.05,23.05 x 1800,None,23.04 , 23.07,11.89 , 27.69,143917,719589,733.202M,0.41,17.73,1.30,N/A ,None
pq group holdings inc,ECVT,9.61,"9.60,9.60",9.65,9.70 x 900,None,9.52 , 9.70,8.24 , 13.79,413939,638693,1.314B,0.79,35.59,0.27,N/A ,None
consolidated edison company of new york,ED,89.56,"88.02,88.02",87.86,89.83 x 900,None,87.81 , 89.99,75.52 , 102.21,808075,1579409,31.756B,0.31,19.64,4.56,3.16 ,3.59
emerging markets domestic debt fund,EDD,4.0950,"4.0700,4.0700",4.0800,4.1000 x 1200,None,4.0500 , 4.1100,3.8400 , 5.9200,124657,148706,270.219M,N/A,51.19,0.0800,0.33 ,8.04
stone harbor emerging markets,EDF,3.7999,"3.7400,3.7400",3.7200,3.7600 x 800,None,3.7200 , 3.7999,3.4000 , 7.3200,73835,60948,64.818M,N/A,47.50,0.0800,0.72 ,20.00
stone harbor emerging markets,EDI,4.0519,"4.0700,4.0700",4.0400,4.0400 x 900,None,3.9800 , 4.0800,3.7500 , 9.0000,53256,40709,40.449M,N/A,27.01,0.1500,0.84 ,21.37
empresa distribuidora y comercializadora adr,EDN,7.19,"7.22,7.22",6.90,7.17 x 1300,None,6.90 , 7.29,3.88 , 7.61,10036,32306,619.21M,1.63,N/A,-4.30,N/A ,None
endeavor group holdings inc cl a,EDR,21.78,"21.96,21.96",21.89,21.94 x 1100,None,20.96 , 21.96,17.42 , 35.28,1259693,1479501,6.288B,N/A,16.38,1.33,N/A ,None
new oriental education & technology group adr,EDU,26.01,"25.27,25.27",25.31,26.06 x 1300,None,24.89 , 26.29,8.40 , 29.80,1329644,1943087,4.559B,0.58,N/A,-6.18,N/A ,None
european equity fund,EEA,7.10,"7.06,7.06",7.01,7.10 x 2900,None,7.01 , 7.09,6.06 , 11.93,16213,14357,50.254M,1.05,5.63,1.26,0.22 ,3.10
emerald expositions events inc,EEX,3.6300,"3.3800,3.3800",3.4000,3.6000 x 800,None,3.4000 , 3.6400,2.4200 , 5.1000,39914,91342,250.89M,1.25,N/A,-1.2020,N/A ,None
ellington financial llc,EFC,13.07,"13.11,13.11",13.14,13.18 x 800,None,12.88 , 13.22,10.81 , 18.47,332298,607678,783.648M,1.82,8.43,1.55,1.80 ,13.73
ellington financial inc pfd.,EFC-A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ellington financial inc 6.250%,EFC-B,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
eaton vance floating-rate 2022 target term trust,EFL,8.63,"8.64,8.64",8.65,0.00 x 2900,None,8.63 , 8.65,8.39 , 9.58,60008,58704,204.348M,N/A,19.18,0.45,0.34 ,3.90
eaton vance senior floating-rate fund,EFR,11.20,"11.17,11.17",11.21,11.20 x 800,None,11.12 , 11.22,10.76 , 15.56,53892,98257,326.757M,0.53,30.27,0.37,0.97 ,8.67
eaton vance floating rate income trust,EFT,11.27,"11.23,11.23",11.18,11.26 x 800,None,11.15 , 11.28,10.92 , 15.60,34602,69842,327.936M,0.60,11.16,1.01,0.94 ,8.36
equifax inc,EFX,165.86,"168.99,168.99",168.16,167.09 x 1100,None,164.44 , 168.14,145.98 , 300.11,524521,814804,20.308B,1.49,28.85,5.75,1.56 ,0.92
blackrock enhanced government fund,EGF,9.79,"9.85,9.85",9.78,9.67 x 800,None,9.78 , 9.79,9.24 , 13.02,1649,2700,40.553M,0.18,N/A,-0.11,0.49 ,5.01
eg acquisition corp [eggf.u],EGG.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
eg acquisition corp cl a,EGGF,9.86,"9.86,9.86",9.81,9.86 x 21500,None,9.86 , 9.86,9.62 , 9.94,98796,13231,277.312M,N/A,N/A,N/A,N/A ,None
8x8 inc,EGHT,4.2500,"4.2000,4.2000",4.1500,4.3200 x 1000,None,4.0100 , 4.3500,2.8700 , 23.1600,1046469,2389723,464.398M,1.36,N/A,-1.5470,N/A ,None
eg acquisition corp wt [eggf/w],EGG.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
eldorado gold corp,EGO,6.01,"6.09,6.09",6.12,6.07 x 1000,None,5.93 , 6.20,5.06 , 12.49,1308470,1904182,1.116B,1.47,N/A,-2.55,N/A ,None
eastgroup properties,EGP,155.15,"155.91,155.91",154.78,155.32 x 800,None,153.05 , 156.48,137.47 , 229.84,123271,282229,6.761B,0.92,29.55,5.25,5.00 ,3.21
vaalco energy inc,EGY,5.14,"5.25,5.25",5.20,5.22 x 1800,None,5.01 , 5.23,2.82 , 8.77,1114693,2302607,560.398M,1.63,3.25,1.58,0.13 ,2.48
encompass health corp,EHC,54.72,"55.19,55.19",55.53,55.09 x 800,None,54.41 , 55.45,42.19 , 59.36,790201,821012,5.46B,0.90,21.29,2.57,0.60 ,1.09
western asset global high,EHI,6.93,"7.00,7.00",7.02,6.95 x 1200,None,6.89 , 7.03,6.33 , 10.18,25475,48473,157.292M,0.74,19.80,0.35,0.80 ,11.64
eagle point income company,EIC,14.73,"14.40,14.40",14.50,14.41 x 800,None,14.52 , 14.74,13.43 , 18.42,5231,13893,N/A,0.62,18.37,0.80,1.68 ,11.74
eagle point income co inc,EICA,22.56,"22.64,22.64",22.17,21.90 x 800,None,22.16 , 22.56,20.99 , 26.86,57,1717,N/A,0.62,28.13,0.80,1.25 ,5.52
employers holdings inc,EIG,43.82,"43.76,43.76",43.95,44.12 x 800,None,43.48 , 44.49,32.58 , 45.74,76993,110378,1.192B,0.11,22.13,1.98,1.04 ,2.38
edison international,EIX,59.57,"60.51,60.51",59.47,60.14 x 800,None,58.20 , 60.52,54.45 , 73.32,2147199,1887821,22.722B,N/A,44.79,1.33,2.80 ,4.63
estee lauder companies,EL,194.87,"206.76,206.76",191.57,195.19 x 800,None,188.04 , 197.49,188.04 , 374.20,5603016,1517015,69.586B,1.03,29.75,6.55,2.40 ,1.16
elanco animal health inc,ELAN,13.24,"13.28,13.28",13.24,13.41 x 1200,None,12.98 , 13.51,11.34 , 35.00,2635048,7295029,6.28B,0.92,N/A,-0.75,N/A ,None
elanco animal health inc units,ELAT,21.05,"21.24,21.24",21.21,21.45 x 1000,None,20.93 , 21.58,18.40 , 52.67,1740,19900,N/A,N/A,N/A,N/A,N/A ,None
entergy louisiana llc,ELC,21.26,"21.25,21.25",21.18,21.14 x 3100,None,21.06 , 21.36,21.06 ," 12,800.00",7442,231792,N/A,N/A,N/A,N/A,None,None
companhia paranaense de energia [copel] adr,ELP,7.70,"7.93,7.93",7.88,7.73 x 3000,None,7.64 , 7.91,5.06 , 8.15,834741,529335,21.071B,0.44,64.17,0.12,1.12 ,14.10
equity lifestyle properties,ELS,63.13,"64.05,64.05",63.89,63.58 x 1100,None,62.68 , 63.84,56.91 , 88.70,596878,987564,12.336B,0.65,42.37,1.49,1.64 ,2.56
elevate credit inc,ELVT,1.0650,"1.0300,1.0300",1.0500,1.0600 x 1000,None,1.0400 , 1.0800,0.9300 , 4.2500,36766,116250,33.065M,1.99,N/A,-1.8280,N/A ,None
western asset emerging market debt fund inc,EMD,8.32,"8.40,8.40",8.40,8.31 x 900,None,8.20 , 8.43,7.40 , 13.84,118853,186887,501.548M,0.82,N/A,-0.59,0.96 ,11.43
emcor group,EME,142.69,"144.34,144.34",142.65,144.02 x 800,None,141.63 , 144.57,95.64 , 144.63,197606,303960,6.8B,1.06,19.31,7.39,0.60 ,0.42
templeton emerging markets fund,EMF,10.74,"10.53,10.53",10.57,10.66 x 900,None,10.23 , 10.74,10.10 , 17.93,15655,25104,172.017M,0.88,N/A,-4.06,0.41 ,3.85
eastman chemical company,EMN,77.65,"78.88,78.88",78.54,79.62 x 900,None,77.02 , 79.65,69.91 , 129.48,765196,1126182,9.317B,1.49,8.61,9.02,3.04 ,3.85
clearbridge energy mlp opportu,EMO,29.53,"30.04,30.04",30.10,30.12 x 800,None,29.51 , 30.10,19.61 , 31.60,23460,53828,381.501M,N/A,2.55,11.60,2.04 ,6.79
entergy mississippi inc 4.9% bonds,EMP,20.84,"20.75,20.75",20.70,20.56 x 1800,None,20.55 , 20.85,7.63 , 20.85,4455,8297300,N/A,N/A,1.57,N/A,None,None
emerson electric company,EMR,86.44,"85.85,85.85",85.73,88.29 x 800,None,84.69 , 88.45,72.41 , 100.00,3934544,2938098,51.112B,1.40,15.98,5.41,2.08 ,2.42
enbridge inc 6.375% fixed-to-floating rate,ENBA,23.71,"23.63,23.63",23.61,23.65 x 1400,None,23.47 , 23.70,22.81 , 27.10,45045,46873,N/A,N/A,22.47,N/A,None,None
enfusion inc cl a,ENFN,13.31,"13.75,13.75",13.61,13.43 x 900,None,13.00 , 13.78,7.80 , 23.21,93745,311112,891.793M,N/A,N/A,-3.05,N/A ,None
enersis americas s.a. american adr,ENIA,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
enersis chile s.a. adr,ENIC,1.7600,"1.7700,1.7700",1.7600,1.7700 x 1000,None,1.7400 , 1.7900,0.9810 , 2.3700,246098,452321,2.435B,N/A,35.20,0.0500,0.01 ,0.38
entergy new orleans inc,ENJ,22.09,"22.16,22.16",22.05,21.90 x 800,None,22.03 , 22.11,22.03 , 25.50,942,1479,N/A,N/A,3.67,N/A,None,None
enlink midstream llc,ENLC,12.12,"11.98,11.98",11.99,12.39 x 1100,None,11.95 , 12.65,5.88 , 12.65,1846876,2603406,5.805B,N/A,32.76,0.37,0.45 ,3.76
entergy new orleans incfirst,ENO,22.25,"21.97,21.97",21.98,21.89 x 800,None,22.12 , 22.25,21.81 , 25.74,4601,4634,N/A,N/A,N/A,N/A,None,None
executive network partnering corp cl a [enpc.u],ENP.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
executive network partnering corp cl a,ENPC,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
executive network partnering corp wt [enpc/w],ENP.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
energizer holdings inc,ENR,28.76,"29.23,29.23",28.96,29.05 x 800,None,28.59 , 29.47,24.81 , 41.62,315245,678817,2.049B,0.99,9.65,2.98,1.20 ,4.11
energizer holdings inc [enr/pa],ENR-A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
enersys inc,ENS,66.25,"67.28,67.28",66.75,67.03 x 1100,None,66.25 , 68.28,55.60 , 86.82,93671,214071,2.694B,1.34,21.37,3.10,0.70 ,1.04
envestnet inc,ENV,48.73,"49.74,49.74",49.66,49.03 x 800,None,48.57 , 49.90,41.72 , 85.79,127663,308993,2.69B,1.20,N/A,-0.30,N/A ,None
enova international inc,ENVA,38.06,"37.90,37.90",37.61,38.37 x 1300,None,37.67 , 39.10,25.80 , 47.88,181086,213681,1.197B,1.43,5.88,6.47,N/A ,None
enzo biochem,ENZ,2.2288,"2.1700,2.1700",2.2000,2.2100 x 1000,None,2.1600 , 2.2288,1.9800 , 3.7000,10866,46625,108.588M,0.85,N/A,-0.1400,N/A ,None
elliott opportunity ii [eocw.u],EOC.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
elliott opportunity ii wt [eocw/w],EOC.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
elliott opportunity ii cl a,EOCW,9.93,"9.92,9.92",9.93,9.91 x 4000,None,9.93 , 9.93,9.63 , 9.95,98059,252415,756.161M,N/A,N/A,N/A,N/A ,None
wells fargo global dividend opportunity,EOD,4.6300,"4.6800,4.6800",4.6600,4.6500 x 900,None,4.6300 , 4.7000,4.1200 , 6.0800,54154,93503,200.217M,N/A,2.71,1.7100,0.51 ,10.90
eog resources,EOG,136.59,"136.31,136.31",135.41,137.03 x 1000,None,134.74 , 138.71,80.67 , 147.99,3685238,3534259,80.048B,1.50,14.01,9.75,3.00 ,2.20
eaton vance enhance equity,EOI,15.95,"16.80,16.80",16.60,16.04 x 3000,None,15.89 , 16.60,13.94 , 20.34,117583,102714,639.297M,1.03,8.58,1.86,1.31 ,7.82
eaton vance enhanced equity ii,EOS,16.68,"17.06,17.06",16.82,16.80 x 800,None,16.62 , 16.99,15.10 , 24.81,153587,149987,857.569M,1.21,4.29,3.89,1.65 ,9.64
eaton vance muni income trust,EOT,16.16,"15.99,15.99",15.94,15.92 x 1200,None,15.77 , 16.17,15.44 , 24.00,26721,39615,252.544M,N/A,N/A,N/A,0.75 ,4.73
el paso energy capital [ep/pc],EP-C,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
actuant corp,EPAC,25.73,"25.62,25.62",25.58,25.91 x 900,None,25.48 , 26.11,16.09 , 26.15,225266,499693,1.463B,1.28,77.97,0.33,0.04 ,0.16
epam systems inc,EPAM,333.64,"342.24,342.24",341.40,333.53 x 1000,None,322.11 , 343.10,168.59 , 725.40,312557,408242,19.14B,1.68,54.97,6.07,N/A ,None
edgewell personal care,EPC,38.86,"39.39,39.39",39.09,39.14 x 1000,None,38.59 , 39.69,32.00 , 51.86,138434,437781,2.014B,0.90,19.43,2.00,0.60 ,1.52
enterprise products partners lp,EPD,24.94,"25.10,25.10",25.00,24.91 x 1300,None,24.76 , 25.11,20.42 , 28.65,5613827,5009215,54.258B,N/A,11.23,2.22,1.90 ,7.57
entertainment properties trust,EPR,38.40,"39.07,39.07",38.66,38.60 x 800,None,38.08 , 39.09,34.58 , 56.38,249741,631598,2.88B,1.62,21.10,1.82,3.30 ,8.55
epr pptys [epr/pc],EPR-C,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
epr pptys [epr/pe],EPR-E,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
epr pptys [epr/pg],EPR-G,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
essential properties realty trust inc,EPRT,21.40,"21.82,21.82",21.71,21.49 x 800,None,21.25 , 21.80,18.88 , 31.23,280911,939935,3.059B,1.35,22.29,0.96,1.08 ,5.02
empowerment & inclusion cap [epwr.u],EPW.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
empowerment & inclusion cap i wt [epwr/w],EPW.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
empowerment & inclusion capital i corp cl a,EPWR,9.95,"9.96,9.96",9.96,9.96 x 1400,None,9.95 , 9.96,9.69 , 9.98,30844,71029,343.275M,N/A,24.27,0.41,N/A ,None
equity commonwealth,EQC,25.81,"26.01,26.01",25.93,25.86 x 800,None,25.78 , 26.11,23.88 , 28.84,649343,786820,2.824B,0.32,430.17,0.06,N/A ,None
equity distribution acquisition corp cl a,EQD,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
equity comwlth [eqc/pd],EQC-D,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
equity distribution acquisition corp units,EQD.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
equity distribution acquisition corp wt,EQD.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
axa equitable holdings inc,EQH,31.12,"30.92,30.92",30.82,31.06 x 800,None,30.72 , 31.69,24.61 , 37.13,2350176,2330878,11.689B,1.42,3.94,7.89,0.80 ,2.59
axa equitable holdings inc 5.25% prf perpetual u,EQH-A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
equitable holdings inc,EQH-C,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
eq health acquisition corp [eqha.u],EQH.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
eq health acquisition corp wt [eqha/w],EQH.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
eq health acquisition corp cl a,EQHA,9.95,"9.94,9.94",9.93,9.95 x 800,None,9.93 , 9.96,9.67 , 9.96,12150,33717,273.625M,N/A,29.26,0.34,N/A ,None
equinor asa adr,EQNR,37.40,"37.20,37.20",37.47,37.19 x 1200,None,37.03 , 37.79,24.17 , 42.53,1804942,3510825,118.965B,0.69,4.95,7.55,0.80 ,2.21
equity residential,EQR,63.02,"63.25,63.25",62.90,62.81 x 800,None,62.34 , 64.08,60.75 , 94.32,1023803,1622607,24.701B,0.84,21.58,2.92,2.50 ,3.95
equus total return,EQS,1.6900,"1.6500,1.6500",1.7000,1.6500 x 1000,None,1.6500 , 1.7000,1.3400 , 2.7200,20505,12718,22.846M,0.86,9.94,0.1700,N/A ,None
eqt corp,EQT,41.10,"40.75,40.75",40.96,41.00 x 800,None,39.99 , 42.07,17.95 , 51.97,4206220,8855045,15.086B,1.17,6.58,6.25,0.60 ,1.47
enerplus corp,ERF,17.25,"17.32,17.32",17.37,17.05 x 900,None,16.83 , 17.50,8.59 , 18.58,893086,1813143,4.009B,3.01,7.91,2.18,0.19 ,1.12
embraer-empresa brasileira de aeronautica adr,ERJ,10.53,"10.70,10.70",10.62,10.47 x 900,None,10.47 , 10.76,7.91 , 18.08,545045,1464417,1.934B,1.13,∞,0.00,N/A ,None
ero copper corp,ERO,10.70,"12.27,12.27",11.30,10.73 x 800,None,10.74 , 11.70,8.07 , 19.45,98636,76150,972.303M,N/A,6.18,N/A,N/A ,None
eversource energy,ES,77.08,"76.98,76.98",77.04,77.00 x 900,None,76.51 , 78.24,70.54 , 94.63,970677,1572537,26.704B,0.51,20.07,3.84,2.55 ,3.31
esco technologies inc,ESE,85.73,"87.41,87.41",86.67,85.04 x 800,None,85.53 , 87.51,60.03 , 96.01,26491,70825,2.216B,1.04,31.29,2.74,0.32 ,0.37
eros stx global corp,ESGC,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
element solutions inc,ESI,17.13,"17.33,17.33",17.33,16.91 x 1000,None,16.93 , 17.49,15.31 , 26.92,1778455,1200900,4.146B,1.39,23.79,0.72,0.32 ,1.85
esm acquisition corp,ESM.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
esm acquisition corp cl a,ESM,9.98,"9.98,9.98",9.99,9.98 x 800,None,9.96 , 10.00,9.67 , 10.00,201270,70465,382.909M,N/A,43.39,0.23,N/A ,None
esm acquisition corp wt,ESM.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
engagesmart inc,ESMT,19.16,"19.89,19.89",19.93,18.95 x 800,None,18.55 , 19.83,15.64 , 33.30,431601,525253,3.138B,N/A,N/A,-0.05,N/A ,None
essent group ltd,ESNT,39.59,"39.47,39.47",39.14,39.24 x 800,None,39.22 , 40.35,34.27 , 50.17,282137,487721,4.264B,1.17,4.75,8.33,0.88 ,2.23
empire state realty trust inc,ESRT,7.17,"7.25,7.25",7.23,7.13 x 1100,None,7.10 , 7.30,6.24 , 10.76,822003,1232515,2.012B,1.09,59.75,0.12,0.14 ,1.93
essex property trust,ESS,221.81,"221.39,221.39",219.76,220.25 x 900,None,218.34 , 224.57,218.34 , 363.36,245301,445210,14.867B,0.81,40.18,5.52,8.80 ,3.96
elastic n.v.,ESTC,59.85,"62.96,62.96",62.81,59.36 x 800,None,58.50 , 63.31,50.74 , 189.84,1110868,1260498,5.691B,1.13,N/A,-2.20,N/A ,None
earthstone energy,ESTE,16.28,"16.43,16.43",16.25,16.10 x 900,None,15.83 , 16.55,9.41 , 22.25,1292613,1909754,2.274B,2.08,6.62,2.46,N/A ,None
energy transfer lp,ET,12.48,"12.75,12.75",12.73,12.39 x 1100,None,12.33 , 12.73,7.96 , 12.95,25914413,18964321,38.541B,1.76,9.83,1.27,1.06 ,8.31
energy transfer l.p. 7.375% series c,ET-C,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
energy transfer l.p. 7.625% series d,ET-D,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
energy transfer l.p. 7.600% series e,ET-E,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
eaton vance tax-managed buy-write,ETB,15.50,"15.93,15.93",15.28,15.38 x 800,None,15.26 , 15.75,13.10 , 17.85,106655,59993,454.987M,0.91,4.97,3.12,1.30 ,8.19
eaton vance tax-advantaged global dividend,ETG,15.69,"16.27,16.27",15.86,15.59 x 1800,None,15.53 , 15.96,14.37 , 22.85,152838,157898,1.197B,1.35,2.03,7.73,1.56 ,9.59
ethan allen interiors inc,ETD,25.67,"26.30,26.30",26.41,25.45 x 1000,None,25.43 , 26.37,19.60 , 28.04,162920,240329,650.668M,1.07,5.79,4.43,1.28 ,4.87
entergy texas inc 5.375% series a preferred stoc,ETI.P,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
eaton vance risk-managed diversified equity,ETJ,8.15,"8.30,8.30",8.13,8.08 x 900,None,7.95 , 8.22,7.94 , 11.60,287493,138193,546.757M,N/A,6.79,1.20,0.91 ,10.99
eaton corp,ETN,154.07,"151.64,151.64",152.00,152.98 x 800,None,151.57 , 156.73,122.50 , 175.72,1924580,1764295,61.368B,1.14,26.75,5.76,3.24 ,2.16
eaton vance tax-advantage global dividend opp,ETO,21.47,"21.97,21.97",21.44,21.39 x 800,None,21.26 , 21.79,19.57 , 33.54,74703,62690,351.722M,1.52,2.02,10.61,2.15 ,9.79
equitrans midstream corp,ETRN,8.11,"7.92,7.92",7.87,8.07 x 1400,None,7.84 , 8.24,5.87 , 11.22,2651716,4675164,3.51B,1.98,N/A,-3.26,0.60 ,7.32
eaton vance corp,ETV,14.11,"14.40,14.40",14.06,14.04 x 900,None,13.94 , 14.28,12.89 , 16.86,275019,275651,1.534B,0.90,4.83,2.92,1.33 ,9.32
eaton vance corp,ETW,8.19,"8.46,8.46",8.26,8.13 x 900,None,8.09 , 8.32,7.57 , 11.30,286587,262200,895.93M,0.95,5.46,1.50,0.87 ,10.51
e2open parent hldg wt [etwo/w],ETW.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e2open parent hldg,ETWO,5.64,"5.80,5.80",5.84,5.59 x 1100,None,5.59 , 5.83,4.89 , 13.32,1863302,2011459,1.706B,0.34,141.12,0.04,N/A ,None
eaton vance municipal income t,ETX,19.40,"19.07,19.07",19.03,18.96 x 900,None,18.86 , 19.57,18.16 , 22.97,18476,12801,211.068M,N/A,N/A,N/A,0.74 ,3.98
eaton vance tax-managed diversified equity,ETY,11.73,"12.10,12.10",11.78,11.67 x 3100,None,11.61 , 11.95,10.61 , 15.06,400344,250928,1.832B,1.08,3.09,3.79,1.11 ,9.21
euronav nv,EURN,18.92,"18.75,18.75",18.68,18.88 x 900,None,18.45 , 19.22,7.91 , 19.22,902190,1217026,3.819B,-0.04,N/A,-1.55,0.12 ,0.68
enviva partners lp,EVA,60.45,"59.97,59.97",60.46,60.27 x 800,None,59.04 , 61.84,45.88 , 91.06,277448,579148,4.038B,1.17,N/A,-4.02,3.62 ,6.05
entravision communications corp,EVC,4.8100,"4.9100,4.9100",4.9200,4.8200 x 900,None,4.7900 , 4.9800,3.9600 , 9.3400,128543,195846,408.59M,1.03,16.03,0.3000,0.10 ,2.04
eve mobility acquisition corp,EVE.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
eaton vance senior income trust,EVF,5.30,"5.31,5.31",5.34,5.30 x 900,None,5.30 , 5.34,5.11 , 7.11,42494,39420,92.956M,0.56,11.52,0.46,0.48 ,9.07
eaton vance short diversified,EVG,10.51,"10.64,10.64",10.52,10.55 x 1400,None,10.63 , 10.63,9.80 , 13.72,28886,41556,141.055M,0.40,9.22,1.14,1.05 ,9.85
evolent health inc cl a com,EVH,28.77,"28.93,28.93",28.93,28.76 x 800,None,28.52 , 29.34,21.36 , 39.78,890889,1142015,2.793B,1.72,N/A,-0.38,N/A ,None
eaton vance muni income trust,EVN,9.51,"9.52,9.52",9.55,9.46 x 800,None,9.38 , 9.57,9.34 , 14.05,153703,98712,377.235M,0.31,13.99,0.68,0.49 ,5.17
evercore partners inc,EVR,108.45,"107.90,107.90",106.94,107.92 x 900,None,106.63 , 110.69,78.67 , 157.70,372483,454259,4.245B,1.46,7.20,15.07,2.88 ,2.67
evergy inc,EVRG,61.45,"61.16,61.16",60.83,61.33 x 800,None,60.84 , 62.47,54.12 , 73.13,889536,1079257,14.104B,0.54,17.26,3.56,2.29 ,3.75
everi holdings inc,EVRI,18.66,"19.13,19.13",19.03,18.64 x 800,None,18.63 , 19.18,15.05 , 25.57,285829,563828,1.677B,2.42,11.45,1.63,N/A ,None
eaton vance tax advantaged dividend,EVT,23.95,"24.35,24.35",24.14,23.90 x 800,None,23.90 , 24.34,21.25 , 30.25,66119,100504,1.769B,1.27,2.55,9.38,1.95 ,7.99
vertical aerospace wt [evtl/w],EVT.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
evertec inc,EVTC,34.45,"35.79,35.79",35.71,34.46 x 1200,None,34.45 , 35.58,30.72 , 51.06,188399,486501,2.273B,0.96,16.80,2.05,0.20 ,0.56
