name,symbol,price,previousClosePrice,openPrice,bid,ask,lowDayRange,highDayRange,low52WeekRange,high52WeekRange,volume,averageVolume,marketCap,beta,priceEarningsRatio,earningsPerShare,forwardDividend,yieldPercent
cytek biosciences inc,CTKB,14.76,"14.70,14.70",14.47,14.00 x 1400,None,14.32 , 15.02,7.38 , 26.50,286663,696862,1.987B,N/A,N/A,-0.03,N/A ,None
cantalope inc,CTLP,3.3300,"3.3100,3.3100",3.2700,3.3000 x 3000,None,3.1700 , 3.3750,3.0200 , 12.4900,272769,298692,237.156M,1.98,111.00,0.0300,N/A ,None
cytomx thera,CTMX,1.2500,"1.2700,1.2700",1.3200,1.2500 x 3000,None,1.2500 , 1.3200,1.1900 , 7.5300,161867,554460,82.438M,0.43,N/A,-1.4090,N/A ,None
castor maritime inc,CTRM,1.1600,"1.1900,1.1900",1.1900,1.1500 x 4000,None,1.1500 , 1.2099,1.0000 , 2.5000,406015,601965,109.748M,0.69,1.32,0.8800,N/A ,None
citi trends inc,CTRN,20.97,"20.54,20.54",20.30,19.46 x 800,None,19.94 , 21.58,15.48 , 97.46,105617,238021,175.716M,2.01,3.80,5.52,N/A ,None
cytosorbents cor,CTSO,1.9500,"2.0300,2.0300",1.9000,1.8500 x 900,None,1.8500 , 2.0500,1.1800 , 6.6400,298646,189153,84.976M,0.55,N/A,-0.6800,N/A ,None
citius pharmaceuticals inc,CTXR,1.0400,"1.0600,1.0600",1.0400,1.0400 x 3100,None,1.0300 , 1.0600,0.8310 , 2.0100,225340,582339,151.975M,1.26,N/A,-0.2020,N/A ,None
cognizant tech sol,CTSH,51.96,"60.26,60.26",52.11,51.99 x 900,None,51.33 , 53.74,51.33 , 93.47,8102037,3155342,26.904B,1.05,12.06,4.31,1.08 ,1.73
herzfeld caribbean,CUBA,4.0100,"4.0400,4.0400",4.0500,4.0100 x 1000,None,4.0000 , 4.0900,3.4700 , 6.1896,6516,28496,27.138M,1.35,3.31,1.2100,0.97 ,23.72
cue biopharma inc,CUE,3.1600,"3.0000,3.0000",2.9650,3.0600 x 800,None,2.9000 , 3.2400,2.1800 , 18.4200,216954,160718,111.806M,1.70,N/A,-1.4420,N/A ,None
cuentas,CUEN,0.3400,"0.3601,0.3601",0.3500,0.3402 x 2900,None,0.3400 , 0.3777,0.3300 , 2.9900,34441,82700,5.685M,0.71,N/A,-0.8720,N/A ,None
cuentas inc wt,CUENW,0.0250,"0.0250,0.0250",1.1100,1.0600 x 800,None,0.0250 , 0.0499,0.0250 , 0.0499,2385,N/A,N/A,N/A,N/A,N/A,N/A ,None
cullman bancorp inc,CULL,11.00,"11.11,11.11",10.90,4.40 x 1000,None,10.90 , 11.00,10.40 , 12.97,1300,7170,81.465M,0.21,33.33,0.33,0.12 ,1.10
curiositystream inc,CURI,1.2500,"1.2400,1.2400",1.2300,1.2100 x 800,None,1.2000 , 1.2600,1.1200 , 10.0500,133728,143004,65.99M,0.68,N/A,-0.9480,N/A ,None
curiositystream inc wt,CURIW,0.1000,"0.0900,0.0900",2.4000,2.1300 x 800,None,0.1000 , 0.1000,0.1000 , 0.1000,5000,N/A,N/A,N/A,N/A,N/A,N/A ,None
cutera inc,CUTR,41.32,"44.69,44.69",44.06,41.11 x 1000,None,40.43 , 44.57,31.62 , 74.38,499193,259715,808.856M,1.77,N/A,-0.71,N/A ,None
curevac n.v.,CVAC,6.98,"7.18,7.18",7.13,6.86 x 800,None,6.98 , 7.25,6.95 , 50.09,110952,305335,1.309B,2.83,N/A,-1.75,N/A ,None
cvb financial corp,CVBF,27.75,"27.77,27.77",27.65,11.11 x 1400,None,27.33 , 27.85,19.00 , 28.77,395586,630470,3.951B,0.35,17.90,1.55,0.80 ,2.84
central vly cmty bcp,CVCY,18.64,"18.50,18.50",18.56,7.41 x 800,None,18.56 , 18.67,14.16 , 23.99,6693,19739,218.684M,0.77,8.51,2.19,0.48 ,2.58
cavco inds inc,CVCO,202.40,"203.74,203.74",203.71,201.74 x 800,None,193.94 , 206.16,179.47 , 327.24,134022,63087,1.8B,1.16,7.96,25.42,N/A ,None
covetrus inc,CVET,20.99,"20.99,20.99",20.93,20.99 x 45900,None,20.93 , 21.00,13.39 , 21.20,5300387,1216992,2.941B,1.51,N/A,-0.30,N/A ,None
calavo growers inc,CVGW,34.28,"34.35,34.35",33.94,20.00 x 1000,None,33.43 , 34.43,28.76 , 45.50,54272,94706,607.843M,0.61,N/A,-1.71,1.15 ,3.32
commercial vehicle g,CVGI,5.14,"4.86,4.86",4.75,2.06 x 900,None,4.68 , 5.14,4.03 , 9.53,131443,124406,171.703M,3.17,9.70,0.53,N/A ,None
covenant logistics group inc,CVLG,36.32,"36.16,36.16",36.00,29.30 x 800,None,34.76 , 36.93,17.23 , 38.84,99669,129425,524.94M,1.36,5.09,7.14,0.32 ,0.85
commvault systems,CVLT,63.57,"63.64,63.64",62.53,25.55 x 800,None,62.06 , 64.31,50.26 , 70.88,413615,262137,2.848B,N/A,122.25,0.52,N/A ,None
codorus valley bncp,CVLY,21.29,"20.73,20.73",20.81,8.35 x 800,None,20.77 , 21.87,18.66 , 24.48,6732,29189,203.123M,0.53,13.74,1.55,0.60 ,2.89
cvrx inc,CVRX,12.04,"10.35,10.35",10.53,11.91 x 2200,None,10.53 , 12.12,4.60 , 19.49,118918,45770,247.737M,N/A,0.18,66.32,N/A ,None
cvent holding corp,CVT,5.11,"5.36,5.36",5.30,5.05 x 800,None,5.09 , 5.32,3.30 , 10.96,537868,578201,2.467B,N/A,N/A,-0.23,N/A ,None
cvd equipment corp,CVV,6.38,"6.31,6.31",6.46,6.33 x 1000,None,6.25 , 6.46,3.68 , 6.55,12297,29725,42.9M,1.26,13.56,0.47,N/A ,None
community west bncsh,CWBC,14.26,"14.26,14.26",14.50,11.00 x 900,None,14.26 , 14.41,12.75 , 16.55,39,3070,124.846M,0.73,9.77,1.46,0.30 ,2.10
cohbar inc,CWBR,2.1565,"2.2200,2.2200",2.2700,2.1500 x 3000,None,2.1500 , 2.2700,2.0900 , 25.0500,10532,35476,6.269M,2.19,N/A,-0.2020,N/A ,None
cons water co inc,CWCO,18.27,"18.20,18.20",18.06,18.29 x 900,None,17.93 , 18.42,9.01 , 20.58,50748,144381,279.374M,0.29,32.05,0.57,0.34 ,1.87
casella waste sys,CWST,82.00,"79.73,79.73",79.50,40.50 x 800,None,79.11 , 82.25,63.90 , 92.75,163108,202632,4.206B,0.97,88.17,0.93,N/A ,None
crexendo inc,CXDO,2.4800,"2.5800,2.5800",2.6326,2.4900 x 1800,None,2.4600 , 2.6326,2.1000 , 6.2000,5458,18762,58.487M,1.19,N/A,-0.1390,0.02 ,0.80
wisdomtree china ex-cso fund,CXSE,28.55,"28.20,28.20",27.90,28.55 x 3000,None,27.83 , 28.74,26.31 , 57.15,123439,148621,758.98M,29.05,N/A,1.68%,None,None
celyad sa adr,CYAD,1.0600,"1.0500,1.0500",1.0500,0.5400 x 1100,None,1.0600 , 1.0700,0.9930 , 5.3200,84,14176,24.09M,1.13,N/A,-1.5070,N/A ,None
cyanotech corp,CYAN,1.9700,"1.9100,1.9100",1.9300,1.9200 x 1100,None,1.9300 , 2.0400,1.8200 , 3.9500,347,9612,12.229M,0.54,10.94,0.1800,N/A ,None
cyberoptics cp,CYBE,54.00,"54.00,54.00",53.98,53.98 x 2200,None,53.98 , 54.00,30.98 , 54.12,260186,258556,401.015M,1.41,25.35,2.13,N/A ,None
cyberark soft ord,CYBR,150.50,"135.56,135.56",144.96,151.05 x 800,None,134.03 , 151.31,100.35 , 201.68,1367676,417790,6.128B,1.07,N/A,-2.67,N/A ,None
cyclacel pharmaceuti,CYCC,1.1400,"1.2000,1.2000",1.1900,1.1100 x 1100,None,1.1400 , 1.2400,1.0100 , 5.5900,86258,576562,14.295M,1.18,N/A,-2.0470,N/A ,None
cyclacel pharmaceuti,CYCCP,9.55,"9.54,9.54",7.75,7.00 x 1100,None,8.55 , 9.48,5.17 , 9.55,13,1018,18.159M,1.18,N/A,-2.05,N/A ,None
cyngn inc,CYN,0.9550,"1.0000,1.0000",0.9800,0.9434 x 1800,None,0.9450 , 1.0002,0.8500 , 7.7800,100812,380012,32.114M,N/A,N/A,-0.8160,N/A ,None
cyclerion therapeutics inc,CYCN,0.5403,"0.5589,0.5589",0.5321,0.5403 x 2900,None,0.5320 , 0.5774,0.3500 , 3.0500,28114,216100,23.492M,2.01,N/A,-1.2350,N/A ,None
cyren ltd,CYRN,1.1000,"1.0900,1.0900",1.0500,1.0800 x 800,None,1.0500 , 1.1195,0.9000 , 13.8700,31891,238529,8.581M,0.54,N/A,-5.8900,N/A ,None
cryoport inc,CYRX,26.49,"27.20,27.20",26.76,21.27 x 800,None,25.89 , 27.43,19.82 , 86.30,800998,465000,1.284B,1.28,N/A,-6.19,N/A ,None
cyteir therapeutics inc,CYT,1.7200,"1.7000,1.7000",1.7500,1.6600 x 1200,None,1.7100 , 1.8300,1.5550 , 17.7500,31512,43067,60.911M,N/A,0.30,5.6700,N/A ,None
cyclo therapeutics inc,CYTH,1.3150,"1.3800,1.3800",1.5000,1.3400 x 1300,None,1.3100 , 1.5000,1.3100 , 8.3000,47766,28998,11.784M,-0.52,N/A,-1.8240,N/A ,None
cyclo therapeutics inc wt,CYTHW,0.6000,"0.7294,0.7294",2.2500,2.2000 x 800,None,0.5208 , 0.7885,0.3260 , 3.0600,3060,734,N/A,N/A,N/A,N/A,N/A ,None
cytokinetics,CYTK,39.75,"41.87,41.87",41.34,41.16 x 900,None,39.75 , 42.14,29.26 , 55.80,816004,1212656,3.742B,1.07,N/A,-3.21,N/A ,None
altamira therapeutics ltd,CYTO,6.21,"6.30,6.30",6.07,6.10 x 800,None,6.01 , 6.39,4.60 , 66.60,26758,100975,6.27M,1.42,N/A,-1.36,N/A ,None
cyxtera technologies inc,CYXT,2.3500,"2.3500,2.3500",2.2800,2.3400 x 1100,None,2.2400 , 2.4250,2.2400 , 15.4200,578421,785885,419.63M,N/A,N/A,-1.6510,N/A ,None
citizens fincl svcs,CZFS,68.00,"68.25,68.25",66.91,27.30 x 800,None,66.91 , 69.00,58.42 , 88.00,1813,3196,270.051M,0.36,9.60,7.08,1.92 ,2.82
citizens nrthn cp,CZNC,23.54,"23.61,23.61",23.49,22.22 x 4000,None,23.41 , 23.77,22.90 , 27.99,6220,16353,364.879M,0.32,14.10,1.67,1.12 ,4.74
caesars entertainment inc,CZR,43.02,"44.08,44.08",43.53,43.11 x 1000,None,41.50 , 44.17,31.31 , 111.56,6993209,4012532,9.224B,2.77,N/A,-6.01,N/A ,None
citizens community,CZWI,13.03,"12.91,12.91",12.77,8.91 x 900,None,12.68 , 13.09,12.05 , 16.49,6600,5304,136.531M,0.86,7.20,1.81,0.26 ,1.99
dada nexus ltd adr,DADA,3.1700,"3.0600,3.0600",2.9800,3.1100 x 3000,None,2.9800 , 3.3200,2.9800 , 24.8300,527412,796026,820.409M,0.94,N/A,-1.4760,N/A ,None
data i o cp,DAIO,4.1500,"4.0900,4.0900",4.1200,3.9000 x 3100,None,4.0400 , 4.1573,2.6100 , 5.8900,18139,62592,36.587M,0.89,N/A,-0.2380,N/A ,None
daktronics inc,DAKT,3.4200,"3.4800,3.4800",3.4100,3.3900 x 800,None,3.3600 , 3.4800,2.6500 , 6.0000,102841,143728,154.016M,0.87,342.00,0.0100,N/A ,None
ft dorseywright dali 1 etf,DALI,25.19,"25.31,25.31",25.06,12.66 x 900,None,25.06 , 25.32,23.32 , 29.76,15381,17853,143.83M,25.31,N/A,0.12%,None,None
dallasnews corp,DALN,4.8400,"4.7900,4.7900",4.7200,4.6000 x 1100,None,4.7200 , 4.9366,4.5100 , 8.4900,15731,44640,25.906M,0.76,N/A,-0.0650,0.64 ,13.33
da32 life science tech acquisition corp cl a,DALS,9.79,"9.83,9.83",9.77,9.71 x 2900,None,9.79 , 9.79,9.58 , 10.00,1296,24375,251.114M,N/A,N/A,N/A,N/A ,None
vaneck digital assets mining etf,DAM,10.04,"10.33,10.33",11.24,5.17 x 1000,None,10.04 , 10.29,10.04 , 46.05,152,440,1.23M,10.29,N/A,N/A,None,None
crypto 1 acquisition corp cl a,DAOO,10.10,"10.11,10.11",10.10,10.10 x 1300,None,10.09 , 10.11,9.75 , 10.40,24244,58926,290.375M,N/A,N/A,-0.04,N/A ,None
crypto 1 acquisition corp,DAOOU,10.50,"10.23,10.23",10.50,4.21 x 1000,None,10.23 , 10.23,9.49 , 11.15,1,1142,N/A,N/A,N/A,-0.04,N/A ,None
crypto 1 acquisition corp wt,DAOOW,0.0300,"0.0344,0.0344",0.0300,0.0300 x 1200,None,0.0300 , 0.0300,0.0300 , 0.0300,1075,N/A,N/A,N/A,N/A,N/A,N/A ,None
vaneck digital transformation etf,DAPP,4.2500,"4.3400,4.3400",4.2700,4.2300 x 3100,None,4.2200 , 4.4300,4.2200 , 36.3610,61130,90775,29.93M,4.33,N/A,37.93%,None,None
dare bioscience inc,DARE,0.9726,"1.0100,1.0100",1.0100,0.9550 x 1400,None,0.9510 , 1.0364,0.8800 , 2.5100,256653,309840,82.497M,1.26,N/A,-0.5600,N/A ,None
datchat inc,DATS,0.5712,"0.5900,0.5900",0.5990,0.5712 x 2900,None,0.5712 , 0.6300,0.5700 , 8.0600,76871,215171,11.765M,N/A,N/A,-0.7770,N/A ,None
datchat inc series a wt,DATSW,0.1300,"0.1870,0.1870",3.9400,3.9500 x 800,None,0.1045 , 0.1300,0.1000 , 4.3500,438,6679,N/A,N/A,N/A,N/A,N/A ,None
dave inc,DAVE,0.2670,"0.2759,0.2759",0.2698,0.2639 x 1400,None,0.2527 , 0.2799,0.2527 , 15.3460,1083129,2674896,99.993M,N/A,N/A,-0.3570,N/A ,None
dave inc wt,DAVEW,0.0360,"0.0417,0.0417",0.0415,0.0350 x 2900,None,0.0336 , 0.0415,0.0336 , 0.0415,19983,N/A,N/A,N/A,N/A,N/A,N/A ,None
day one biopharmaceuticals inc,DAWN,19.37,"19.50,19.50",19.21,16.85 x 1400,None,19.12 , 19.80,5.44 , 28.35,304484,668096,1.423B,N/A,3.96,4.89,N/A ,None
gx dax germany etf,DAX,22.20,"22.51,22.51",22.07,20.50 x 1000,None,22.03 , 22.36,20.03 , 33.74,14900,24712,23.08M,22.72,N/A,4.56%,None,None
digital brands group inc,DBGI,0.0812,"0.0732,0.0732",0.0800,0.0799 x 2900,None,0.0727 , 0.0988,0.0600 , 4.8700,126962793,10863209,4.356M,N/A,N/A,-3.4310,N/A ,None
digital brands group inc wt,DBGIW,0.0800,"0.0600,0.0600",1.3600,0.9103 x 1000,None,0.0310 , 0.0895,0.0310 , 0.0895,28941,N/A,N/A,N/A,N/A,N/A,N/A ,None
decibel therapeutics inc,DBTX,3.5000,"3.5200,3.5200",3.5000,3.4100 x 1000,None,3.4197 , 3.6300,1.8310 , 8.6590,31073,57325,87.376M,N/A,N/A,-2.2030,N/A ,None
dbv technologies adr,DBVT,1.5300,"1.4700,1.4700",1.4700,1.1000 x 1000,None,1.4300 , 1.5500,1.1500 , 3.4300,29546,65667,291.063M,1.62,N/A,-0.7745,N/A ,None
dropbox inc,DBX,20.43,"20.68,20.68",20.57,21.05 x 3100,None,20.42 , 21.07,19.07 , 31.47,2812405,2344732,7.535B,0.81,22.70,0.90,N/A ,None
docebo inc,DCBO,26.75,"27.69,27.69",27.30,26.71 x 800,None,26.01 , 27.40,24.85 , 81.22,58916,61378,880.123M,1.62,N/A,-0.45,N/A ,None
tritium dcfc ltd wt,DCFCW,0.4718,"0.5602,0.5602",0.6249,0.4001 x 1000,None,0.4500 , 0.6249,0.4500 , 0.6249,32244,N/A,N/A,N/A,N/A,N/A,N/A ,None
tritium dcfc ltd,DCFC,1.6300,"1.8400,1.8400",1.9000,1.6100 x 1200,None,1.6000 , 1.9000,1.6000 , 19.7500,1716788,694337,249.806M,N/A,N/A,-0.8600,N/A ,None
docgo inc.,DCGO,9.24,"9.49,9.49",9.60,8.40 x 2200,None,9.24 , 9.64,4.96 , 11.86,364363,779240,933.471M,N/A,17.11,0.54,N/A ,None
dime community bancshares inc,DCOM,32.66,"32.84,32.84",32.31,31.61 x 1000,None,32.15 , 32.94,28.36 , 38.35,130498,104446,1.26B,1.09,9.15,3.57,0.96 ,2.92
dime community bancshares,DCOMP,19.49,"19.56,19.56",19.50,16.95 x 800,None,19.18 , 19.50,19.02 , 26.25,6640,11953,N/A,1.09,5.21,3.74,1.38 ,7.07
deciphera pharmaceuticals inc,DCPH,16.43,"16.64,16.64",15.98,6.48 x 1100,None,15.44 , 17.77,6.51 , 37.53,622374,799762,1.098B,0.86,N/A,-4.90,N/A ,None
decarbonization acquisition corp iv,DCRD,10.12,"10.10,10.10",10.10,10.10 x 27000,None,10.10 , 10.12,9.83 , 10.19,841,164660,400.057M,N/A,31.04,0.33,N/A ,None
decarbonization plus acquisition corp iv,DCRDU,10.40,"10.40,10.40",10.39,10.00 x 3100,None,10.39 , 10.40,9.98 , 10.73,1638,6985,N/A,N/A,31.90,0.33,N/A ,None
decarbonization plus acquisition corp iv,DCRDW,0.6000,"0.6100,0.6100",0.6000,0.2400 x 1300,None,0.5955 , 0.6000,0.5955 , 0.6000,7210,N/A,N/A,N/A,N/A,N/A,N/A ,None
duck creek technologies inc,DCT,10.47,"11.03,11.03",10.94,10.46 x 2900,None,10.46 , 10.94,10.46 , 32.49,457744,764735,1.39B,0.33,N/A,-0.05,N/A ,None
delcath systems inc,DCTH,2.7800,"2.8000,2.8000",2.7900,2.5900 x 3000,None,2.7800 , 2.8000,2.3400 , 11.9520,23026,36854,23.902M,0.95,N/A,-3.5810,N/A ,None
doubledown interactive co. adr,DDI,10.25,"9.51,9.51",9.42,4.21 x 1100,None,9.42 , 10.25,8.11 , 17.30,7157,9109,507.922M,N/A,18.98,0.54,N/A ,None
ft high income etf,DDIV,29.08,"29.09,29.09",28.80,26.18 x 800,None,28.85 , 29.21,26.74 , 34.68,1866,13178,67.1M,29.07,N/A,3.37%,None,None
datadog inc cl a,DDOG,75.01,"74.48,74.48",78.80,73.20 x 2200,None,74.80 , 79.00,74.38 , 199.68,10318555,4290212,23.737B,1.20,"7,501.00",0.01,N/A ,None
denali capital acquisition cl a,DECA,10.15,"10.15,10.15",10.15,10.16 x 1300,None,10.15 , 10.15,9.92 , 10.60,10,8743,109.848M,N/A,N/A,N/A,N/A ,None
denali capital acquisition corp,DECAU,10.17,"10.17,10.17",10.17,4.07 x 1000,None,10.17 , 10.17,9.80 , 10.58,2932,1793,N/A,N/A,N/A,N/A,N/A ,None
demz political contributions etf,DEMZ,23.02,"23.21,23.21",23.18,18.86 x 1400,None,22.94 , 23.18,21.34 , 30.70,367,2804,18.62M,23.18,N/A,3.24%,None,None
dennys corp,DENN,11.53,"11.62,11.62",11.46,11.46 x 2200,None,11.33 , 11.73,8.46 , 17.40,931316,568995,667.928M,N/A,7.39,1.56,N/A ,None
journey medical corp,DERM,2.1400,"2.3000,2.3000",2.0400,2.1500 x 900,None,1.8301 , 2.2000,1.8301 , 10.2000,6325,11415,37.657M,N/A,N/A,-3.7320,N/A ,None
diffusion pharmaceuticals inc,DFFN,4.9882,"4.8500,4.8500",4.9300,4.6200 x 800,None,4.7724 , 4.9882,4.6600 , 24.5000,4085,9173,10.172M,1.53,N/A,-11.6990,N/A ,None
dream finders homes inc cl a,DFH,10.60,"10.31,10.31",10.35,9.99 x 900,None,9.84 , 10.70,9.39 , 23.09,150274,178154,983.244M,N/A,5.92,1.79,N/A ,None
dragonfly energy hldgs corp,DFLI,8.22,"7.45,7.45",7.50,7.36 x 1200,None,7.27 , 8.65,6.75 , 27.95,87191,98498,392.25M,N/A,N/A,N/A,N/A ,None
dragonfly energy hldgs corp wt,DFLIW,0.2174,"0.2300,0.2300",0.2100,0.1801 x 1400,None,0.2100 , 0.2300,0.2100 , 0.2300,39618,N/A,N/A,N/A,N/A,N/A,N/A ,None
digihost technology inc,DGHI,0.7200,"0.7245,0.7245",0.7565,0.6600 x 1000,None,0.7001 , 0.7565,0.3990 , 8.0000,47755,60667,19.934M,5.97,2.67,0.2700,N/A ,None
donegal group cl a,DGICA,14.83,"14.61,14.61",14.62,14.79 x 900,None,14.55 , 14.90,13.05 , 17.13,28369,71221,481.684M,-0.02,148.30,0.10,0.66 ,4.52
donegal group cl b,DGICB,14.53,"15.40,15.40",14.43,9.88 x 900,None,14.15 , 14.86,12.00 , 17.80,2748,1381,459.058M,-0.02,145.30,0.10,0.59 ,3.93
digi intl inc,DGII,36.97,"37.31,37.31",36.97,35.00 x 1100,None,36.37 , 38.29,18.54 , 40.86,256416,403356,1.305B,1.23,108.74,0.34,N/A ,None
digital ally inc,DGLY,0.3421,"0.3462,0.3462",0.3500,0.3420 x 2200,None,0.3416 , 0.3588,0.3400 , 1.6000,188286,339737,18.44M,0.73,17.10,0.0200,N/A ,None
dragoneer growth opportunities corp iii cl a,DGNU,9.90,"9.78,9.78",9.90,9.87 x 1100,None,9.90 , 9.90,9.70 , 10.05,5406,170329,532.962M,N/A,18.00,0.55,N/A ,None
wisdomtree em quality divd growth fund,DGRE,19.18,"19.11,19.11",19.00,9.56 x 1400,None,19.00 , 19.24,18.61 , 28.83,43969,25473,65.14M,19.33,N/A,5.71%,None,None
wisdomtree us smallcap quality dvid fund,DGRS,39.65,"39.98,39.98",39.30,35.94 x 1100,None,39.38 , 39.90,35.95 , 48.81,37186,27548,188.46M,39.92,N/A,3.29%,None,None
wisdomtree u.s. quality dividend growth fund,DGRW,58.09,"58.40,58.40",57.88,57.94 x 3200,None,57.55 , 58.38,53.69 , 66.50,567685,684343,6.33B,58.39,N/A,2.38%,None,None
definitive healthcare corp cl a,DH,13.83,"14.56,14.56",14.42,12.12 x 800,None,13.46 , 14.42,13.00 , 44.09,780851,544656,1.39B,N/A,N/A,-0.16,N/A ,None
digital health acquisition corp,DHAC,10.52,"10.52,10.52",10.54,0.00 x 3200,None,10.52 , 10.54,9.81 , 11.00,12880,8034,157.085M,N/A,N/A,N/A,N/A ,None
digital health acquisition corp,DHACU,10.42,"10.25,10.25",10.42,10.40 x 1800,None,10.42 , 10.42,10.00 , 11.19,0,526,N/A,N/A,N/A,N/A,N/A ,None
digital health acquisition corp wt,DHACW,0.0950,"0.0950,0.0950",0.0950,0.0855 x 28000,None,0.0950 , 0.0950,0.0950 , 0.0950,25300,N/A,N/A,N/A,N/A,N/A,N/A ,None
dhb capital corp cl a,DHBC,10.01,"10.01,10.01",10.01,0.00 x 1800,None,10.00 , 10.01,9.65 , 10.01,568075,71445,359.734M,N/A,31.28,0.32,N/A ,None
dhb capital corp,DHBCU,10.00,"10.00,10.00",10.00,4.05 x 1100,None,10.00 , 10.01,8.51 , 10.04,2754,3268,351.109M,N/A,109.89,0.09,N/A ,None
dhb capital corp wt,DHBCW,0.0012,"0.0009,0.0009",0.6000,0.5579 x 1300,None,0.0012 , 0.0058,0.0012 , 0.0058,26150,N/A,N/A,N/A,N/A,N/A,N/A ,None
diversified healthcare trust,DHC,1.1800,"1.3500,1.3500",1.2900,1.1700 x 2200,None,1.1300 , 1.3350,0.9100 , 3.7100,1636752,1998373,282.166M,N/A,0.69,1.7100,0.04 ,2.96
dhc acquisition corp cl a,DHCA,9.98,"9.97,9.97",9.97,9.94 x 1200,None,9.97 , 9.98,9.67 , 10.30,4411,57710,385.846M,N/A,17.50,0.57,N/A ,None
dhc acquisition corp,DHCAU,9.99,"9.99,9.99",9.99,9.98 x 2200,None,9.99 , 9.99,9.75 , 10.05,732,1601,N/A,N/A,41.62,0.24,N/A ,None
dhc acquisition corp wt,DHCAW,0.0500,"0.0600,0.0600",0.8800,0.6300 x 3000,None,0.0498 , 0.0600,0.0498 , 0.0600,8943,N/A,N/A,N/A,N/A,N/A,N/A ,None
diversified healthcare trust,DHCNI,11.58,"11.90,11.90",11.66,11.44 x 800,None,11.18 , 12.50,9.51 , 24.38,21779,29317,N/A,N/A,N/A,N/A,N/A ,None
diversified healthcare trust,DHCNL,13.05,"12.49,12.49",12.27,11.05 x 800,None,12.20 , 12.59,12.20 , 12.59,25200,N/A,N/A,N/A,N/A,N/A,N/A ,None
diamondhead holdings corp,DHHCU,9.93,"9.93,9.93",9.93,3.98 x 900,None,9.93 , 9.93,9.80 , 10.00,2500,10885,N/A,N/A,132.40,0.08,N/A ,None
diamondhead holdings corp cl a,DHHC,9.91,"9.92,9.92",9.91,0.00 x 1400,None,9.91 , 9.92,9.70 , 9.93,3668,163143,427.369M,N/A,28.31,0.35,N/A ,None
diamondhead holdings corp wt,DHHCW,0.1050,"0.1400,0.1400",0.7201,0.6901 x 3100,None,0.0997 , 0.1050,0.0997 , 0.1050,37904,N/A,N/A,N/A,N/A,N/A,N/A ,None
diamond hill inv,DHIL,176.52,"177.50,177.50",174.50,70.40 x 1300,None,173.50 , 177.15,160.00 , 234.84,7010,10887,540.407M,0.92,12.77,13.82,6.00 ,3.38
1stdibs.com inc,DIBS,6.58,"6.67,6.67",6.55,6.03 x 800,None,6.54 , 6.80,4.77 , 17.25,58693,161270,253.945M,N/A,N/A,-0.87,N/A ,None
dice therapeutics inc,DICE,34.20,"34.50,34.50",33.71,32.80 x 900,None,33.11 , 34.57,12.64 , 45.99,240726,903835,1.588B,N/A,N/A,-2.81,N/A ,None
dila capital acquisition corp cl a,DILA,10.01,"10.02,10.02",10.01,9.95 x 1300,None,10.01 , 10.01,9.72 , 10.02,47433,11093,75.871M,N/A,N/A,-0.13,N/A ,None
dila capital acquisition corp,DILAU,10.03,"9.97,9.97",10.03,5.67 x 1200,None,10.03 , 10.03,9.90 , 10.64,18400,1209,N/A,N/A,N/A,-0.13,N/A ,None
dila capital acquisition corp wt,DILAW,0.0300,"0.0301,0.0301",0.5953,0.5748 x 1300,None,0.0300 , 0.0300,0.0300 , 0.0300,6200,N/A,N/A,N/A,N/A,N/A,N/A ,None
disruptive acquisition corp i cl a,DISA,9.97,"9.98,9.98",9.97,4.00 x 1400,None,9.97 , 9.97,9.67 , 9.98,2003,57068,342.719M,N/A,36.93,0.27,N/A ,None
diodes inc,DIOD,67.37,"70.99,70.99",69.37,59.26 x 800,None,67.33 , 69.37,58.52 , 113.98,308237,226642,3.064B,1.30,10.73,6.28,N/A ,None
disruptive acquisition corp i,DISAU,9.96,"9.95,9.95",9.96,5.70 x 3000,None,9.96 , 9.96,9.74 , 10.52,1200,2576,N/A,N/A,27.14,0.37,N/A ,None
disruptive acquisition corp i wt,DISAW,0.0333,"0.0326,0.0326",N/A,N/A x N/A,None,0.0326 , 0.0338,0.0326 , 0.0338,325,N/A,N/A,N/A,N/A,N/A,N/A ,None
dish network corp,DISH,13.72,"14.55,14.55",14.14,13.35 x 2900,None,13.47 , 14.41,12.55 , 42.79,7133066,4069806,7.276B,1.83,4.20,3.27,N/A ,None
altrius global dividend etf,DIVD,26.61,"26.67,26.67",26.55,13.34 x 1400,None,26.55 , 26.55,24.37 , 27.19,243,1316,243.69k,26.65,N/A,N/A,None,None
daily journal cp,DJCO,260.20,"260.00,260.00",267.00,104.00 x 1200,None,258.26 , 260.20,236.01 , 415.66,414,2300,358.303M,0.76,17.79,14.63,N/A ,None
data knights acquisition corp cl a,DKDCA,10.41,"10.42,10.42",10.42,4.29 x 1300,None,10.41 , 10.45,10.06 , 10.45,60721,16851,155.141M,N/A,N/A,N/A,N/A ,None
data knights acquisition corp,DKDCU,10.43,"10.43,10.43",10.43,10.37 x 1000,None,10.43 , 10.43,10.28 , 11.37,100,28,N/A,N/A,N/A,N/A,N/A ,None
data knights acquisition corp wt,DKDCW,0.0330,"0.0312,0.0312",0.4814,0.4503 x 1100,None,0.0300 , 0.0330,0.0300 , 0.0330,1000,N/A,N/A,N/A,N/A,N/A,N/A ,None
